SKU	Title	Author	Rarity	Collection
3AA171D64EEECC0B2A303AF144E7CF6D	A Christmas Carol	Charles Dickens	C	Charles Dickens I
C55215698B92BB80396AA30221BDFD31	Oliver Twist	Charles Dickens	C	Charles Dickens I
7881F40331A68EE9ADBC6B97DB9A5DD0	Hard Times	Charles Dickens	C	Charles Dickens I
3572C036CF412A2493BDF5955E97467B	The Old Curiosity Shop	Charles Dickens	C	Charles Dickens I
F8B8B152FFE7371495B424CB892B255A	Barnaby Ridge	Charles Dickens	U	Charles Dickens I
57AD2DFD5C2D84407B0E003798898161	Nicholas Nickleby	Charles Dickens	U	Charles Dickens I
B5051AA7E7FE8E289943C3309C15EC28	Martin Chuzzlewit	Charles Dickens	U	Charles Dickens I
30C4E4A91EAB539C3EBD9CBBBD129066	The Chimes	Charles Dickens	R	Charles Dickens I
D5FC22870E7409277FAB30D1753AC149	The Cricket on the Hearth	Charles Dickens	R	Charles Dickens I
51885B44A42711D28148BEABA1675FB7	Dombey and Son	Charles Dickens	SR	Charles Dickens I
A542C3D5CC1FC14A4AFA8DF1D760F46E	The Haunted Man	Charles Dickens	C	Charles Dickens II
5EC436CC2C701973EEBD04DEB7916AE3	The Pickwick Papers	Charles Dickens	C	Charles Dickens II
C5570BBE4FD73C2ADF4F1017B5491DA2	A Tale of Two Cities	Charles Dickens	C	Charles Dickens II
C346425CD49BB315167BB1915956987A	Great Expectations	Charles Dickens	C	Charles Dickens II
64FE3CE9738A038D3F474F72CC0FB7A1	Little Dorrit	Charles Dickens	U	Charles Dickens II
B9127FD175591525114EB646D66BE3CB	David Copperfield	Charles Dickens	U	Charles Dickens II
62D0BBF5AF805A7FEEABE6DDF1D16100	Bleak House	Charles Dickens	U	Charles Dickens II
4FD78E8321C1C6C1B362E169156D7E6A	Our Mutual Friend	Charles Dickens	R	Charles Dickens II
290A193C27FE25FDEF09B2F0F3B83301	The Signal-Man	Charles Dickens	R	Charles Dickens II
87BAA5A0E45A00987D54E945FEAB1D23	Edwin Drood	Charles Dickens	SR	Charles Dickens II
7E46BE65620D0C1CB6C91C992308070B	Adventures of Huckleberry Finn	Mark Twain	C	Mark Twain
228115D9AD7410F482D48E7B88EE8374	Adventures of Tom Sawyer	Mark Twain	C	Mark Twain
04B7D4C610CB7D9E98C3E896DD823773	A Dog's Tale	Mark Twain	C	Mark Twain
04B5529FD7E33745056C5CE35DEA7B4E	The Gilded Age	Mark Twain	C	Mark Twain
BD17C49B9C58A069CF94EC47260D55FA	A Horse's Tale	Mark Twain	U	Mark Twain
6B6BE622751AF051C591559AA5A9AD04	The Innocents Abroad	Mark Twain	U	Mark Twain
B5AD86F10F953C4E5E3A4CF91E5053DD	Life on the Mississippi	Mark Twain	U	Mark Twain
B66EC19508C164881AEAD86DF54BA6E1	The Prince and the Pauper	Mark Twain	R	Mark Twain
53EF2BD313FB562732EEB4BE28BD343F	Roughing It	Mark Twain	R	Mark Twain
8567A322CF84DB5CC47799D3C115A6D8	A Tramp Abroad	Mark Twain	SR	Mark Twain
47755AE67981C7ADFD8FF224A5D83C47	Pride and Prejudice	Jane Austen	C	Jane Austen
